gene_id,baseMean,log2FC,lfcSE,stat,p_value,p_adj
ALOX12B,51.17311663387042,4.386503776188539,0.9021189901020862,4.8624447820260945,1.159447286381081e-06,0.00015107071120051677
C12orf54,152.65181787394351,2.1999892149324887,0.4917507877358473,4.4737888983601435,7.684561161389945e-06,0.000691972604265684
LINC00487,12.848423416357152,-6.353956900820451,1.6921855224577713,-3.7548819656557573,0.00017342318601061023,0.007373099054416829
NRIR,31.2458124207374,-3.8561155000009575,0.9240071591343288,-4.1732528388780255,3.0028138616371153e-05,0.0019926881245222686
STARD4,352.90754841893505,-2.3239152582734146,0.6948965377121051,-3.3442608102851277,0.000825021373845941,0.021540130217600373
MUC2,2539.0022664388557,-4.495087125906533,0.6990778384962114,-6.430023780436137,1.2758398371423245e-10,9.540508416961234e-08
CCL26,28.881590193856262,3.0957326370462366,0.7557273232398766,4.096361930880744,4.1969360557213274e-05,0.0025596845114308903
HP,80.12244227003143,3.1178998991945934,0.8603053682159287,3.6241781283550343,0.0002898817755573308,0.010496161384864278
KHDC1L,51.31161632888113,4.4289313568338375,0.6716856893703302,6.593755720753446,4.288371024118283e-11,4.609730827738147e-08
PHOSPHO1,81.18066746174848,3.2436707242383114,1.004110290073106,3.230392872482315,0.0012362022130132692,0.0278703882557088
